Version v1.0
width	height	pixel	centerx	centery	bbox_xini	bbox_yini	bbox_xend	bbox_yend
offsetx	offsety	angle	weight	confidence	intensity	slope	band_width	ridge_intensity	curvature	contrast	mxp_flag	EigenRatio	NeighborContinuity	NeighborOrientation	NeighborParalism	ClfLabel

1024	1024	1.000000	512.000000	512.000000	176	176	848	848
31	4080
74	0
361.020935059	203.464599609	1.52872512589	1.0	0.0	0.595542132854	0.000562965869904	0.0	0.0209184288979	-1.0	0.0269613752772	0.0	-0.17711632129	1.00025456327	0.999988194997	0.999999339312	1.0
362.020141602	203.418823242	1.52386610835	1.0	0.0	0.593061923981	0.000599801540375	0.0	0.0208374783397	-1.0	0.024067616076	0.0	-0.548922482965	0.997077774874	0.999988194997	0.99999311979	1.0
363.016174316	203.373184204	1.52629632892	1.0	0.0	0.591307997704	0.000609844923019	0.0	0.0208673812449	-1.0	0.0182576683821	16.0	-0.866202937913	0.995157719148	0.999953179509	0.999989452309	1.0
364.010559082	203.333969116	1.53597319371	1.0	0.0	0.590691387653	0.00060099363327	0.0	0.0210335589945	-1.0	0.0141667928492	16.0	-0.934173075666	0.994925010601	0.999904282304	0.999975992681	1.0
365.005096436	203.30619812	1.549809322	1.0	0.0	0.59107363224	0.000587970018387	0.0	0.0213141366839	-1.0	0.0153819237967	0.0	-0.468790450885	0.994925010601	0.999904282304	0.999976147773	1.0
366.001251221	203.291671753	1.5621017858	1.0	0.0	0.591841638088	0.000576972961426	0.0	0.0216424055398	-1.0	0.0144260979196	0.0	0.169581337869	0.996260694305	0.999924448618	0.999979484223	1.0
366.99987793	203.286453247	1.56744940631	1.0	0.0	0.592335641384	0.000567048788071	0.0	0.0219457279891	-1.0	0.0144260979196	0.0	0.0665067891341	0.998640344034	0.999985701512	0.999993983351	1.0
368.00088501	203.28263855	1.56510473782	1.0	0.0	0.592236638069	0.000555455684662	0.0	0.0221820566803	-1.0	0.0179577441164	0.0	0.108133813314	1.00205033402	0.999981979905	0.999994886845	1.0
369.00289917	203.274124146	1.55910138051	1.0	0.0	0.591572284698	0.000540852546692	0.0	0.0223316513002	0.00288938394754	0.0160184893778	0.0	0.170290468513	1.00205033402	0.999981979905	0.9999960646	1.0
370.004455566	203.259841919	1.55414195547	1.0	0.0	0.590439915657	0.000523030757904	0.0	0.0223686750978	0.00318975700894	0.0132347233214	0.0	0.163830260102	1.00165822334	0.999987702077	0.999996712646	1.0
371.004852295	203.24256897	1.55287807026	1.0	0.0	0.588818609715	0.000503391027451	0.0	0.0222620796412	0.00370621026533	0.0127448942262	0.0	0.162776610335	0.999425792999	0.999995430541	0.999999405273	1.0
372.004150391	203.226593018	1.55590113577	1.0	0.0	0.586658477783	0.000484853982925	0.0	0.0220050700009	0.00430788948526	0.0181667235073	0.0	0.165632571044	0.998498791868	0.999976622415	0.999996982507	1.0
373.002593994	203.216094971	1.56273892426	1.0	0.0	0.584056317806	0.000469326972961	0.0	0.0216361302882	0.00504194175276	0.0179031347437	0.0	0.170806890701	0.997926541329	0.999953979816	0.999990402704	1.0
374.000518799	203.214233398	1.57233272823	1.0	0.0	0.581274986267	0.000459969043732	0.0	0.0212272722274	0.00541995714986	0.0128740904439	0.0	-0.265784502947	0.997561854648	0.99994384029	0.999980829874	1.0
374.998046875	203.222442627	1.58293086346	1.0	0.0	0.578633606434	0.000462710857391	0.0	0.0208524297923	0.00495150753293	0.0128740904439	0.0	-0.14684551916	0.997356579851	0.99994384029	0.999977602062	1.0
