gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur
Chain_H_1_113	0.00395692	-0.00113406	-3.90904	-0.803643	-1.053	-0.395708
Chain_H_1_114	0.000791222	0.00162742	-3.88535	-0.807559	-1.04559	-0.393711
Chain_H_1_115	0.324345	-0.523263	-6.8029	-0.206769	-0.354958	0.00667594
Chain_H_1_116	0.20251	-0.367394	-6.458	-0.330183	-0.484969	-0.0694255
Chain_H_1_117	0.18561	-0.319375	-6.77828	-0.251613	-0.259302	0.0399389
Chain_H_1_118	0.373273	-0.41775	-6.72289	-0.30586	-0.197436	0.0359667
Chain_H_1_119	0.0966336	-0.190857	-4.14895	-1.38526	-0.842469	-0.350871
Chain_H_1_12	0.545789	-1.00853	-6.75946	-0.353484	-0.389637	-0.0826543
Chain_H_1_120	0.117641	-0.239571	-4.15591	-1.38561	-0.836798	-0.353869
Chain_H_1_121	0.0771107	-0.150321	-4.14589	-1.37509	-0.852418	-0.34732
Chain_H_1_122	0.0702815	-0.137338	-4.13357	-1.36618	-0.857031	-0.345843
Chain_H_1_13	0.515198	-0.93925	-6.25061	-0.24647	-0.329223	-0.0561145
Chain_H_1_132	0.012934	-0.0125822	-4.44369	-1.61715	-0.702168	-0.354085
Chain_H_1_133	0.0193078	-0.0186394	-4.47358	-1.6323	-0.702789	-0.358035
Chain_H_1_134	0.0206295	-0.0204715	-4.47749	-1.63274	-0.70622	-0.357934
Chain_H_1_135	0.0176189	-0.0156547	-4.4303	-1.61478	-0.702418	-0.353421
Chain_H_1_136	0.0378538	-0.0334795	-4.40771	-1.55529	-0.707998	-0.352713
Chain_H_1_137	0.0386089	-0.0296083	-4.49416	-1.63832	-0.729789	-0.366533
Chain_H_1_138	0.0407246	-0.0282899	-4.51729	-1.64369	-0.734178	-0.369009
Chain_H_1_139	0.0222414	-0.0254072	-4.3722	-1.6499	-0.700685	-0.355042
Chain_H_1_14	0.432615	-0.828105	-6.23724	-0.303782	-0.474012	-0.0609783
Chain_H_1_140	0.0260238	-0.023346	-4.42483	-1.64248	-0.713833	-0.354406
Chain_H_1_141	0.0732343	-0.123433	-3.55148	-0.800267	-0.590677	-0.235406
Chain_H_1_142	0.0699126	-0.140374	-3.56334	-0.807093	-0.59023	-0.236639
Chain_H_1_143	0.0413637	-0.252809	-3.87207	-0.671322	-0.461649	-0.161023
Chain_H_1_144	0.0772552	-0.319509	-4.22192	-0.855919	-0.531252	-0.175958
Chain_H_1_145	0.0476914	-0.264321	-3.94357	-0.728107	-0.467089	-0.172757
Chain_H_1_146	0.0512833	-0.278436	-3.96383	-0.749316	-0.476105	-0.177596
Chain_H_1_15	0.541728	-0.994678	-6.32959	-0.227612	-0.326724	-0.0662631
Chain_H_1_150	0.140123	-0.205959	-3.97006	-0.846297	-0.351043	-0.138608
Chain_H_1_151	0.138339	-0.204391	-3.96427	-0.840889	-0.350656	-0.135144
Chain_H_1_152	0.146991	-0.1977	-3.92215	-0.839701	-0.353498	-0.135016
Chain_H_1_153	0.138537	-0.304481	-4.13135	-0.814123	-0.31648	-0.135088
Chain_H_1_154	0.255583	-0.24894	-4.92569	-1.06945	-0.349915	-0.23854
Chain_H_1_155	0.290386	-0.271434	-4.94122	-1.06857	-0.357661	-0.237916
Chain_H_1_156	0.248695	-0.241894	-4.96569	-1.06838	-0.348942	-0.239828
Chain_H_1_16	0.17121	-0.559379	-6.22357	-0.315944	-0.562061	-0.103024
Chain_H_1_167	0.0608275	-0.116315	-4.18332	-1.39048	-0.717248	-0.42095
Chain_H_1_168	0.110489	-0.204236	-3.91544	-1.1775	-0.506017	-0.275146
Chain_H_1_169	0.0976407	-0.209512	-3.75697	-1.04869	-0.468044	-0.252171
Chain_H_1_17	0.250575	-0.669727	-6.4271	-0.269609	-0.552308	-0.111568
Chain_H_1_170	0.098256	-0.155303	-3.78188	-1.17929	-0.455309	-0.271853
Chain_H_1_171	0.111503	-0.218602	-3.95238	-1.1776	-0.504469	-0.274532
Chain_H_1_172	0.0703587	-0.131489	-3.42109	-1.08878	-0.504941	-0.302198
Chain_H_1_173	0.10924	-0.20688	-3.95023	-1.18364	-0.504995	-0.275084
Chain_H_1_174	0.0876694	-0.239194	-3.92827	-1.02248	-0.534865	-0.280629
Chain_H_1_175	0.067572	-0.132235	-3.41778	-1.10199	-0.49904	-0.303382
Chain_H_1_18	0.241975	-0.665612	-6.3389	-0.259289	-0.54273	-0.107735
Chain_H_1_183	0.0327627	-0.0268303	-4.50815	-1.63165	-0.719965	-0.362093
Chain_H_1_184	0.0441781	-0.042911	-4.54896	-1.52923	-0.690068	-0.344349
Chain_H_1_185	0.0404361	-0.0383079	-4.60517	-1.59537	-0.704901	-0.356084
