gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur
Chain_V_1_67	0.355672	-0.696566	-5.16028	-0.748465	-0.348388	-0.099386
Chain_V_1_68	0.450479	-0.798049	-5.61698	-0.763666	-0.391662	-0.105698
Chain_V_1_69	0.350316	-0.69765	-5.17343	-0.711309	-0.336795	-0.0932143
Chain_V_1_70	0.454782	-0.799878	-5.60103	-0.76782	-0.392467	-0.106209
Chain_V_1_71	0.284543	-0.623079	-4.90163	-0.735367	-0.373935	-0.119118
Chain_V_1_72	0.334809	-0.64447	-5.0219	-0.834156	-0.394852	-0.131534
Chain_V_1_73	0.318011	-0.6622	-5.1063	-0.801385	-0.406838	-0.132603
Chain_V_1_82	0.173323	-0.30257	-4.01218	-1.20431	-0.729699	-0.319024
Chain_V_1_83	0.168212	-0.306585	-3.99965	-1.20041	-0.726244	-0.318129
Chain_V_1_84	0.174164	-0.306065	-4.00665	-1.20462	-0.726081	-0.318746
Chain_V_1_85	0.160451	-0.305711	-3.97667	-1.19362	-0.721756	-0.317185
Chain_V_1_86	0.0617984	-0.118716	-3.93022	-1.17439	-0.795687	-0.341501
Chain_V_1_87	0.0797228	-0.179473	-3.96791	-1.13412	-0.767742	-0.345517
Chain_V_1_88	0.0680545	-0.122792	-3.88057	-1.16029	-0.810883	-0.342237
Chain_V_1_98	0.0479847	-0.209075	-3.95763	-1.35046	-0.993437	-0.354734
Chain_V_1_99	0.0629868	-0.229042	-4.01297	-1.37173	-1.00479	-0.354959
DLE1_34_0	-0.564352	5.70753	15.9223	3.04158	-1.10078	-0.0100605
DLE1_34_1	-0.711722	5.89828	16.2481	2.98072	-0.843568	-0.0104928
DLE1_34_10	-0.231051	3.17319	11.4959	1.4503	0.899974	0.228072
DLE1_34_11	-0.188096	2.8063	11.3479	1.66021	1.75107	0.492666
DLE1_34_12	-0.205755	3.02993	11.9859	1.77582	1.76344	0.575159
DLE1_34_13	-0.54291	4.24246	13.5436	1.71497	-0.156854	-0.1779
DLE1_34_14	-0.30749	2.38076	10.0833	0.964808	0.709484	0.106553
DLE1_34_15	-0.163501	1.80271	9.75141	0.848903	2.29555	0.67804
DLE1_34_16	-0.0713713	1.37128	7.72975	0.729144	0.388802	0.0239165
DLE1_34_17	-0.119478	0.97392	9.86315	-0.352015	2.77141	0.738802
DLE1_34_18	-0.10924	0.934429	8.15987	0.126843	2.06495	0.593348
DLE1_34_2	-0.648021	6.27107	17.4867	3.00867	-0.233456	-0.10864
DLE1_34_3	-0.481781	5.73474	16.8058	2.69966	0.478375	0.137935
DLE1_34_4	-0.325006	4.47496	14.1541	1.98706	0.674535	0.283353
DLE1_34_5	-0.270998	4.32882	14.1555	2.22434	1.27455	0.407005
DLE1_34_6	-0.283388	4.10525	13.8319	2.69771	2.2278	0.689963
DLE1_34_7	-0.308539	3.44521	13.0631	2.00894	2.71824	0.835458
DLE1_34_8	-0.21159	3.9263	14.2139	2.63581	1.793	0.641215
DLE1_34_9	-0.492668	5.02064	14.6393	2.64013	-0.714661	-0.140829
DLE1_35_0	-0.540588	5.53534	15.4706	2.90482	-1.00045	-0.00993442
DLE1_35_1	-0.617046	5.53297	15.5045	2.78942	-0.844229	-0.0150661
DLE1_35_10	-0.214884	3.10929	11.2129	1.45823	0.864893	0.224799
DLE1_35_11	-0.167255	2.83157	11.405	1.68661	1.75936	0.496986
DLE1_35_12	-0.201081	2.94122	11.5955	1.7611	1.69293	0.555132
DLE1_35_13	-0.497996	4.00088	12.8042	1.70382	-0.172746	-0.179319
DLE1_35_14	-0.273336	2.26087	9.73479	0.969355	0.674657	0.104547
DLE1_35_15	-0.151391	1.81101	9.63398	0.869763	2.2559	0.670713
DLE1_35_16	-0.0596218	1.30444	7.51576	0.720271	0.35821	0.0241836
DLE1_35_17	-0.0905222	0.884657	9.05666	-0.221884	2.44666	0.657197
DLE1_35_18	-0.0916649	0.871883	7.89258	0.169059	1.95762	0.563857
DLE1_35_2	-0.53666	5.76939	16.5813	2.8962	-0.28727	-0.112347
DLE1_35_3	-0.433724	5.37983	16.0744	2.57352	0.398765	0.120603
DLE1_35_4	-0.272224	4.19488	13.6246	1.90521	0.628652	0.270715
DLE1_35_5	-0.271007	4.18313	13.749	2.195	1.22723	0.395549
DLE1_35_6	-0.276635	3.91574	13.4027	2.54323	2.02389	0.641998
DLE1_35_7	-0.313582	3.47725	13.0599	2.10946	2.69255	0.843041
DLE1_35_8	-0.219066	3.98038	14.2711	2.67624	1.79045	0.645408
DLE1_35_9	-0.404248	4.7122	13.8998	2.45887	-0.652059	-0.130961
DLE1_36_0	-0.471615	5.27006	14.8937	2.84054	-0.974789	-0.0137639
DLE1_36_1	-0.543238	5.38409	15.0499	2.69819	-0.772625	-0.0157489
DLE1_36_10	-0.178814	2.99582	10.8798	1.46397	0.820152	0.219652
DLE1_36_11	-0.138035	2.76131	10.789	1.68197	1.65025	0.475189
DLE1_36_12	-0.172081	2.89836	11.3156	1.77286	1.64171	0.54597
DLE1_36_13	-0.466293	3.71863	12.2277	1.59398	-0.197697	-0.180682
DLE1_36_14	-0.250891	2.13359	9.35623	0.939537	0.60735	0.096167
DLE1_36_15	-0.147966	1.77139	9.27009	0.889086	2.1624	0.649062
DLE1_36_16	-0.0856287	1.27844	7.24574	0.733094	0.331993	0.024229
DLE1_36_17	-0.0934614	0.859375	8.63341	-0.150738	2.35614	0.637268
DLE1_36_18	-0.099042	0.892744	7.59534	0.221402	1.88216	0.545226
DLE1_36_2	-0.467208	5.57776	16.2149	2.7775	-0.279457	-0.102501
DLE1_36_3	-0.392837	5.16366	15.6173	2.55657	0.37338	0.116
DLE1_36_4	-0.220116	4.05106	13.211	1.86059	0.554451	0.248973
DLE1_36_5	-0.228862	4.09958	13.5097	2.17956	1.19089	0.387832
DLE1_36_6	-0.248365	3.69586	12.583	2.481	1.86966	0.58822
DLE1_36_7	-0.264412	3.32594	12.4976	2.01556	2.53747	0.808563
DLE1_36_8	-0.197689	3.80178	13.7409	2.6238	1.71653	0.622655
DLE1_36_9	-0.333418	4.55724	13.5176	2.43847	-0.646276	-0.130816
DLE1_37_0	-0.49652	5.18349	14.7637	2.80942	-0.969197	-0.0154504
DLE1_37_1	-0.53982	5.40267	15.1117	2.71035	-0.774317	-0.014893
DLE1_37_10	-0.187568	2.98734	10.8486	1.45748	0.818404	0.218503
DLE1_37_11	-0.149673	2.80427	10.9153	1.68822	1.66956	0.479793
DLE1_37_12	-0.181407	2.85043	11.2064	1.75494	1.62753	0.540265
DLE1_37_13	-0.455703	3.71772	12.204	1.59004	-0.201128	-0.180425
DLE1_37_14	-0.240062	2.13845	9.31369	0.937917	0.605011	0.0954582
DLE1_37_15	-0.146077	1.74924	9.2129	0.887209	2.1495	0.645142
DLE1_37_16	-0.0789489	1.26778	7.24492	0.733487	0.334465	0.025204
DLE1_37_17	-0.0860441	0.865557	8.68699	-0.159477	2.36883	0.640048
DLE1_37_18	-0.0954328	0.889595	7.59624	0.220558	1.8825	0.545188
DLE1_37_2	-0.41723	5.48473	15.8808	2.746	-0.270889	-0.102386
DLE1_37_3	-0.402344	5.15832	15.5828	2.55004	0.373543	0.115304
DLE1_37_4	-0.218808	4.05529	13.2394	1.86246	0.553732	0.249218
DLE1_37_5	-0.228197	4.04683	13.3375	2.16169	1.17373	0.384478
DLE1_37_6	-0.247639	3.79153	12.9043	2.50261	1.91863	0.599503
DLE1_37_7	-0.277268	3.23409	12.3691	1.97097	2.51973	0.798192
DLE1_37_8	-0.20465	3.75724	13.619	2.59538	1.70104	0.616716
DLE1_37_9	-0.348416	4.5426	13.57	2.45729	-0.650712	-0.130636
DLE1_38_0	-0.479657	4.91951	14.3517	2.71024	-0.953685	-0.0155088
DLE1_38_1	-0.52938	5.06558	14.4417	2.63127	-0.75758	-0.0204101
DLE1_38_10	-0.191988	2.80066	10.4609	1.40829	0.753595	0.204173
DLE1_38_11	-0.136534	2.61906	10.4277	1.65808	1.57052	0.464721
DLE1_38_12	-0.153806	2.70374	10.7863	1.69398	1.53306	0.513438
DLE1_38_13	-0.423034	3.57106	11.7156	1.55086	-0.196248	-0.16632
DLE1_38_14	-0.225193	2.09957	9.04409	0.947394	0.568854	0.0928977
DLE1_38_15	-0.131193	1.70862	8.97095	0.906698	2.06156	0.630299
DLE1_38_16	-0.0691904	1.26155	7.01097	0.74704	0.312409	0.0249137
DLE1_38_17	-0.078031	0.823271	8.32736	-0.0990607	2.24506	0.624603
DLE1_38_18	-0.0812565	0.857298	7.31472	0.273725	1.81422	0.529841
DLE1_38_2	-0.377758	5.38741	15.6743	2.75411	-0.287071	-0.102854
DLE1_38_3	-0.372059	4.82525	14.9764	2.41442	0.337497	0.109298
DLE1_38_4	-0.218171	3.90203	12.8577	1.84852	0.526638	0.24303
DLE1_38_5	-0.20051	3.95602	13.2171	2.14916	1.15224	0.384209
DLE1_38_6	-0.220567	3.69177	12.5206	2.48859	1.85665	0.587699
DLE1_38_7	-0.270372	3.17744	12.1331	1.96916	2.41588	0.763163
DLE1_38_8	-0.156362	3.70076	13.5064	2.59418	1.68042	0.618345
DLE1_38_9	-0.34459	4.20433	12.956	2.29538	-0.641589	-0.131671
DLE1_39_0	-0.450803	5.10431	14.6676	2.79714	-0.963143	-0.0119189
DLE1_39_1	-0.531353	4.9305	14.1975	2.55745	-0.750505	-0.022868
DLE1_39_10	-0.182435	2.79879	10.4432	1.40495	0.751121	0.203316
DLE1_39_11	-0.136126	2.56546	10.3319	1.63155	1.53279	0.461126
DLE1_39_12	-0.159108	2.76468	10.9545	1.73069	1.56296	0.529462
DLE1_39_13	-0.367233	3.40476	11.3168	1.56546	-0.220922	-0.164586
DLE1_39_14	-0.202931	2.05059	8.81994	0.9613	0.544564	0.091789
DLE1_39_15	-0.127531	1.64317	8.70358	0.907668	1.96191	0.595565
DLE1_39_16	-0.0551393	1.22226	6.74384	0.74694	0.285537	0.0246328
DLE1_39_17	-0.0678021	0.777509	7.91856	-0.026514	2.09767	0.576135
DLE1_39_18	-0.0744987	0.825227	7.05624	0.32317	1.73975	0.514539
DLE1_39_2	-0.429179	5.30278	15.5281	2.71173	-0.27982	-0.103714
DLE1_39_3	-0.322869	4.82956	14.9814	2.41631	0.334747	0.110571
DLE1_39_4	-0.218675	3.91323	12.9005	1.84743	0.52744	0.243261
DLE1_39_5	-0.191778	3.84372	12.8593	2.09333	1.0892	0.362294
DLE1_39_6	-0.224611	3.82345	12.9109	2.50496	1.91572	0.600882
DLE1_39_7	-0.237456	3.27506	12.2982	2.02108	2.43998	0.776814
DLE1_39_8	-0.153984	3.69289	13.4877	2.59375	1.67661	0.61766
DLE1_39_9	-0.339986	4.18331	12.924	2.28775	-0.641975	-0.131779
DLE_28_0	-0.54458	5.60232	16.4941	3.07211	-0.836582	0.0487554
DLE_28_1	-0.494122	5.54821	16.3713	3.08919	-0.580844	0.0555914
DLE_28_10	-0.154351	3.39292	11.7514	1.88295	0.951097	0.312597
DLE_28_11	-0.126283	2.92121	10.7217	2.04457	1.51985	0.482296
DLE_28_12	-0.134171	3.07998	11.9007	2.21115	1.5642	0.559489
DLE_28_13	-0.398346	4.32489	13.6488	1.89006	-0.0821841	-0.118911
DLE_28_14	-0.234842	2.47077	9.85558	1.1725	0.698364	0.161844
DLE_28_15	-0.157724	2.06681	9.59396	1.26782	1.98787	0.632481
DLE_28_16	-0.230382	1.69981	8.22971	0.769977	0.408757	0.0496461
DLE_28_17	-0.0807706	0.951477	8.33229	0.196983	2.14622	0.600581
DLE_28_18	-0.0597598	1.06881	7.88151	0.419438	1.8552	0.54837
DLE_28_2	-0.525471	5.31839	16.0178	2.97011	-0.0653252	-0.0337093
DLE_28_3	-0.46055	5.14987	15.8907	2.80679	0.519223	0.181948
DLE_28_4	-0.473688	4.36121	13.791	2.24724	0.7511	0.312265
DLE_28_5	-0.39334	4.56216	15.2065	2.69676	1.37981	0.462984
DLE_28_6	-0.227147	3.76842	12.6236	3.0037	1.79661	0.616514
DLE_28_7	-0.404604	3.57125	13.1871	2.68063	2.44371	0.820976
DLE_28_8	-0.485723	4.0064	14.5917	2.89284	1.79649	0.613135
DLE_28_9	-0.293247	4.76214	14.2088	2.63028	-0.514527	-0.0777712
DLE_29_0	-0.50588	5.53654	16.4344	3.11134	-0.812533	0.0513749
DLE_29_1	-0.47419	5.27772	15.78	2.99038	-0.563495	0.0494274
DLE_29_10	-0.123197	3.27193	11.496	1.87941	0.912048	0.30638
DLE_29_11	-0.127876	2.8212	10.4373	2.02419	1.47208	0.471475
DLE_29_12	-0.11895	3.15421	12.0758	2.26032	1.58512	0.570121
DLE_29_13	-0.385169	4.25292	13.3263	1.89801	-0.0980604	-0.11939
DLE_29_14	-0.195856	2.43457	9.75492	1.19216	0.688794	0.162999
DLE_29_15	-0.12487	2.12769	9.71773	1.30594	2.00592	0.642031
DLE_29_16	-0.198477	1.65784	8.03585	0.782773	0.389708	0.0502926
DLE_29_17	-0.0492345	0.972031	8.3285	0.213771	2.14769	0.602423
DLE_29_18	-0.0620881	1.09289	7.871	0.434839	1.85369	0.548576
DLE_29_2	-0.513124	5.31296	15.9206	2.98264	-0.0760624	-0.0345064
DLE_29_3	-0.419551	4.96684	15.5324	2.75685	0.493078	0.174583
DLE_29_4	-0.461792	4.2824	13.6984	2.25786	0.724682	0.31017
DLE_29_5	-0.378962	4.39516	14.8732	2.63028	1.33683	0.45142
DLE_29_6	-0.185798	3.6896	12.4671	3.03485	1.73776	0.612444
DLE_29_7	-0.342937	3.45713	13.0536	2.73433	2.33947	0.801753
DLE_29_8	-0.434318	4.01131	14.5261	2.93552	1.7762	0.616551
DLE_29_9	-0.25737	4.60775	13.9155	2.61176	-0.514157	-0.0778654
DLE_30_0	-0.456273	5.29061	15.8724	2.9847	-0.788297	0.0442876
DLE_30_1	-0.455566	5.21999	15.7056	3.00373	-0.549438	0.0517821
DLE_30_10	-0.132324	3.20361	11.2855	1.85869	0.887319	0.299713
DLE_30_11	-0.123128	2.71197	10.1653	1.97053	1.39517	0.45056
DLE_30_12	-0.109239	3.01136	11.6469	2.24902	1.51113	0.544708
DLE_30_13	-0.351707	4.06123	12.9002	1.90496	-0.11142	-0.118625
DLE_30_14	-0.195054	2.36075	9.54117	1.16493	0.652052	0.156109
DLE_30_15	-0.128016	2.10334	9.57091	1.32226	1.96613	0.632973
DLE_30_16	-0.175564	1.58019	7.75067	0.783605	0.35856	0.047521
DLE_30_17	-0.0560465	0.966755	8.12198	0.248763	2.0917	0.587567
DLE_30_18	-0.0551752	1.08512	7.70186	0.464987	1.80575	0.540704
DLE_30_2	-0.531353	5.07123	15.4676	2.88063	-0.0751062	-0.0345248
DLE_30_3	-0.470325	4.81553	15.2415	2.74244	0.468327	0.169654
DLE_30_4	-0.438311	4.10709	13.3673	2.22331	0.690454	0.299875
DLE_30_5	-0.385912	4.26908	14.8234	2.67801	1.28268	0.447245
DLE_30_6	-0.181042	3.55555	12.0887	2.97096	1.65808	0.586581
DLE_30_7	-0.361995	3.52283	13.1888	2.78038	2.3727	0.816524
DLE_30_8	-0.40194	3.97978	14.6249	3.00424	1.76716	0.622472
DLE_30_9	-0.240776	4.40962	13.4815	2.52598	-0.501534	-0.0776088
DLE_31_0	-0.418475	5.18725	15.8672	3.01572	-0.752797	0.0484337
DLE_31_1	-0.445243	5.02773	15.318	2.92284	-0.537863	0.048303
DLE_31_10	-0.109154	3.0518	10.8708	1.82264	0.836398	0.286642
DLE_31_11	-0.10893	2.63736	9.90314	1.96179	1.34019	0.436617
DLE_31_12	-0.101913	2.96067	11.4014	2.24533	1.46791	0.536521
DLE_31_13	-0.325031	3.77569	12.3429	1.79257	-0.122662	-0.113092
DLE_31_14	-0.16598	2.3176	9.34948	1.17164	0.628661	0.154074
DLE_31_15	-0.121588	2.05792	9.28553	1.32119	1.89458	0.615673
DLE_31_16	-0.153171	1.54886	7.59298	0.790943	0.348433	0.0488154
DLE_31_17	-0.0512492	0.958788	7.91962	0.279885	2.04251	0.576243
DLE_31_18	-0.0463437	1.04195	7.42548	0.502632	1.71268	0.514781
DLE_31_2	-0.471504	4.99751	15.2634	2.86689	-0.081949	-0.0339965
DLE_31_3	-0.449479	4.69265	14.8977	2.69799	0.452524	0.164951
DLE_31_4	-0.398212	4.0162	13.0392	2.23699	0.664566	0.295771
DLE_31_5	-0.363023	4.18404	14.4144	2.63979	1.23486	0.433708
DLE_31_6	-0.169973	3.51478	12.035	2.98216	1.64829	0.586582
DLE_31_7	-0.295774	3.4463	13.0353	2.8188	2.30212	0.804024
DLE_31_8	-0.351164	3.93821	14.4886	3.02011	1.70991	0.612581
DLE_31_9	-0.256424	4.24143	13.1859	2.48078	-0.478309	-0.0742873
DLE_32_0	-0.420108	5.02739	15.2644	2.89096	-0.732024	0.0411379
DLE_32_1	-0.382947	4.83215	14.8176	2.84661	-0.506046	0.0430034
DLE_32_10	-0.108232	3.00059	10.6725	1.82253	0.80912	0.280608
DLE_32_11	-0.104917	2.56044	9.65382	1.96259	1.29097	0.426113
DLE_32_12	-0.0978668	2.82883	11.0173	2.18586	1.40212	0.513336
DLE_32_13	-0.305535	3.71939	12.0655	1.77803	-0.13598	-0.11321
DLE_32_14	-0.155165	2.23095	9.02436	1.1685	0.585412	0.146577
DLE_32_15	-0.119929	2.01265	9.0756	1.30883	1.82353	0.593931
DLE_32_16	-0.123913	1.55692	7.46205	0.801094	0.34307	0.047859
DLE_32_17	-0.0526184	0.955433	7.72517	0.312896	1.9768	0.563826
DLE_32_18	-0.0638253	1.02982	7.29261	0.52315	1.67781	0.505571
DLE_32_2	-0.42499	4.87489	14.9225	2.81882	-0.0827431	-0.0342456
DLE_32_3	-0.396529	4.59054	14.5994	2.73092	0.436448	0.162778
DLE_32_4	-0.349307	3.94549	12.7771	2.20351	0.641267	0.288274
DLE_32_5	-0.344017	4.10375	14.1934	2.71769	1.23607	0.441221
DLE_32_6	-0.131966	3.39806	11.7299	2.94916	1.57182	0.566372
DLE_32_7	-0.290013	3.43844	12.9415	2.90627	2.29389	0.814661
DLE_32_8	-0.261382	3.95086	14.3723	3.01642	1.67748	0.606635
DLE_32_9	-0.214538	4.18282	12.9854	2.47419	-0.461334	-0.0715251
DLE_33_0	-0.438156	5.08391	15.5523	2.96171	-0.735542	0.0464523
DLE_33_1	-0.384795	4.87317	14.9327	2.8695	-0.506612	0.0448476
DLE_33_10	-0.107841	3.00059	10.6728	1.82275	0.809129	0.280651
DLE_33_11	-0.105033	2.55995	9.65551	1.9628	1.29122	0.426136
DLE_33_12	-0.0990371	2.82557	11.0021	2.17211	1.40638	0.513803
DLE_33_13	-0.318843	3.62146	11.8264	1.78352	-0.137408	-0.110937
DLE_33_14	-0.146758	2.20508	8.8641	1.16475	0.571251	0.145092
DLE_33_15	-0.0928005	1.98034	8.89223	1.31456	1.77263	0.581027
DLE_33_16	-0.118675	1.50125	7.23752	0.808561	0.326992	0.0482941
DLE_33_17	-0.0369454	0.913899	7.39248	0.349967	1.85216	0.527666
DLE_33_18	-0.0506984	1.0104	7.0566	0.558387	1.61802	0.490814
DLE_33_2	-0.427891	4.83081	14.8157	2.80011	-0.0820322	-0.0345557
DLE_33_3	-0.396362	4.59083	14.5996	2.73103	0.436486	0.162814
DLE_33_4	-0.349695	3.94298	12.7677	2.20212	0.641439	0.288567
DLE_33_5	-0.344876	4.10388	14.1892	2.71719	1.23539	0.440824
DLE_33_6	-0.131524	3.39447	11.7296	2.95041	1.57326	0.567013
DLE_33_7	-0.242954	3.37522	12.801	2.90266	2.2514	0.808025
DLE_33_8	-0.30179	3.80677	14.05	3.04192	1.63247	0.58701
DLE_33_9	-0.191352	4.1828	12.9515	2.46079	-0.463125	-0.0726419
DLE_34_0	-0.386252	4.79733	14.8318	2.85031	-0.692283	0.0396339
DLE_34_1	-0.351966	4.71673	14.5292	2.80128	-0.486896	0.0428207
DLE_34_10	-0.120574	2.96652	10.5235	1.80515	0.786943	0.274209
DLE_34_11	-0.0941008	2.5149	9.46626	1.93538	1.25725	0.417143
DLE_34_12	-0.0792782	2.77362	10.8919	2.19837	1.35883	0.500427
DLE_34_13	-0.281832	3.37625	11.3587	1.70982	-0.150315	-0.110095
DLE_34_14	-0.147728	2.11758	8.59676	1.16958	0.537901	0.139571
DLE_34_15	-0.0864798	1.91788	8.57082	1.31753	1.69288	0.558094
DLE_34_16	-0.13389	1.48042	7.13756	0.816546	0.317635	0.0482272
DLE_34_17	-0.0369762	0.894833	7.25373	0.375759	1.81173	0.517918
DLE_34_18	-0.0500939	1.03074	6.95025	0.583368	1.59066	0.48399
DLE_34_2	-0.39514	4.66856	14.4218	2.76989	-0.0829439	-0.0343425
DLE_34_3	-0.394018	4.41107	14.2225	2.66419	0.416055	0.155395
DLE_34_4	-0.337653	3.83798	12.5284	2.18637	0.604493	0.277281
DLE_34_5	-0.288062	3.99882	13.8494	2.65251	1.19236	0.428108
DLE_34_6	-0.120092	3.31302	11.4497	2.95698	1.52575	0.554351
DLE_34_7	-0.221179	3.26713	12.6085	2.87744	2.17935	0.790631
DLE_34_8	-0.280422	3.78049	13.9115	3.0649	1.62632	0.597868
DLE_34_9	-0.182536	4.02222	12.597	2.42542	-0.445443	-0.0713365
DLE_35_0	-0.372266	4.7688	14.8861	2.89319	-0.66653	0.0442092
DLE_35_1	-0.360388	4.53412	14.0833	2.73108	-0.465821	0.0397488
DLE_35_10	-0.0979833	2.85908	10.2425	1.80439	0.761289	0.263948
DLE_35_11	-0.0771225	2.40545	9.10784	1.91823	1.18282	0.397451
DLE_35_12	-0.0750041	2.66694	10.5854	2.14407	1.32436	0.481565
DLE_35_13	-0.253194	3.33278	11.138	1.71816	-0.144592	-0.103556
DLE_35_14	-0.14071	2.0709	8.45457	1.1628	0.525903	0.13788
DLE_35_15	-0.0878908	1.8792	8.40885	1.31655	1.65504	0.546933
DLE_35_16	-0.108227	1.42771	6.95453	0.826608	0.307376	0.0489868
DLE_35_17	-0.0450497	0.87588	6.98463	0.417673	1.73636	0.498786
DLE_35_18	-0.0440883	0.988767	6.75576	0.619767	1.53657	0.471282
DLE_35_2	-0.366887	4.43444	14.024	2.70948	-0.0884973	-0.0353239
DLE_35_3	-0.367698	4.31372	13.989	2.61599	0.403955	0.151287
DLE_35_4	-0.309586	3.7034	12.1937	2.16614	0.570362	0.265698
DLE_35_5	-0.262858	3.8335	13.5878	2.59592	1.15452	0.416141
DLE_35_6	-0.120921	3.18957	11.1735	2.89602	1.48012	0.543462
DLE_35_7	-0.211164	3.20127	12.4564	2.85524	2.10937	0.772784
DLE_35_8	-0.246191	3.53182	13.4956	2.97808	1.52423	0.564893
DLE_35_9	-0.160912	3.96117	12.3898	2.39701	-0.432948	-0.069735
DLE_36_0	-0.303008	4.49598	14.312	2.74662	-0.635538	0.039789
DLE_36_1	-0.330139	4.33081	13.7648	2.67166	-0.452677	0.0369466
DLE_36_10	-0.0964884	2.82999	10.0937	1.81105	0.747385	0.2664
DLE_36_11	-0.0668987	2.35389	8.93956	1.89867	1.15732	0.390498
DLE_36_12	-0.0753194	2.57216	10.2913	2.12825	1.30335	0.478788
DLE_36_13	-0.244016	3.19016	10.7909	1.68675	-0.148335	-0.101628
DLE_36_14	-0.109501	2.02375	8.22385	1.15811	0.501678	0.133733
DLE_36_15	-0.079385	1.81511	8.15566	1.32589	1.58792	0.528789
DLE_36_16	-0.100473	1.37232	6.7903	0.828186	0.296505	0.0489484
DLE_36_17	-0.0479401	0.854658	6.73815	0.4551	1.66161	0.47936
DLE_36_18	-0.043793	0.966943	6.57949	0.640549	1.48601	0.458372
DLE_36_2	-0.319851	4.3344	13.8179	2.66273	-0.0818993	-0.0331781
DLE_36_3	-0.350815	4.16995	13.5123	2.53532	0.380714	0.139217
DLE_36_4	-0.309477	3.5955	11.9061	2.17624	0.560126	0.265556
DLE_36_5	-0.267253	3.76411	13.5195	2.59565	1.10584	0.404729
DLE_36_6	-0.0962964	3.07577	10.9153	2.87718	1.42215	0.527606
DLE_36_7	-0.187202	3.10345	11.9933	2.84167	2.05097	0.734175
DLE_36_8	-0.215579	3.50514	13.2748	2.98133	1.47117	0.547922
DLE_36_9	-0.177097	3.72009	12.031	2.32972	-0.420978	-0.0699746
DLE_37_0	-0.309526	4.56625	14.537	2.79521	-0.642447	0.0422194
DLE_37_1	-0.326123	4.41508	14.004	2.73543	-0.45197	0.040049
DLE_37_10	-0.0965188	2.80119	10.0229	1.80172	0.738135	0.263284
DLE_37_11	-0.0661867	2.30697	8.7835	1.87805	1.12546	0.380695
DLE_37_12	-0.0775764	2.64256	10.4561	2.18244	1.32279	0.488308
DLE_37_13	-0.242866	3.18917	10.7877	1.68609	-0.149044	-0.101699
DLE_37_14	-0.109544	2.02402	8.21839	1.1508	0.504107	0.133597
DLE_37_15	-0.0800829	1.78311	8.05041	1.31322	1.56404	0.520767
DLE_37_16	-0.100126	1.37137	6.7857	0.82849	0.29686	0.0492782
DLE_37_17	-0.0480726	0.854659	6.73883	0.454903	1.66247	0.479693
DLE_37_18	-0.0442928	0.966038	6.58341	0.642741	1.48571	0.458459
DLE_37_2	-0.319459	4.32983	13.8319	2.66627	-0.0840733	-0.0333253
DLE_37_3	-0.350504	4.16853	13.5109	2.535	0.380427	0.139178
DLE_37_4	-0.298374	3.61889	11.8913	2.15899	0.560917	0.264349
DLE_37_5	-0.267308	3.76214	13.5117	2.58796	1.10371	0.403733
DLE_37_6	-0.0958847	3.07823	10.9246	2.87762	1.42424	0.52817
DLE_37_7	-0.204521	3.20759	12.4461	2.91628	2.08015	0.766288
DLE_37_8	-0.221078	3.47556	13.2004	2.90952	1.47576	0.547713
DLE_37_9	-0.160802	3.69826	12.0057	2.33633	-0.405108	-0.0671093
DLE_38_0	-0.312211	4.49069	14.3482	2.75506	-0.614123	0.0420549
DLE_38_1	-0.328664	4.23636	13.705	2.6686	-0.417082	0.0397852
DLE_38_10	-0.0832643	2.69981	9.81076	1.77936	0.713933	0.25599
DLE_38_11	-0.0754289	2.22771	8.6138	1.85294	1.09835	0.37328
DLE_38_12	-0.0608524	2.4803	9.98756	2.09845	1.24729	0.462076
DLE_38_13	-0.214935	3.09495	10.4938	1.66147	-0.148437	-0.0992404
DLE_38_14	-0.117013	1.96215	8.00809	1.15832	0.478367	0.129474
DLE_38_15	-0.0755672	1.7468	7.91769	1.31654	1.52279	0.509509
DLE_38_16	-0.103139	1.31928	6.63121	0.830734	0.287716	0.0487628
DLE_38_17	-0.0414346	0.83474	6.52926	0.490453	1.59271	0.462643
DLE_38_18	-0.0375417	0.94429	6.42468	0.666688	1.44046	0.445257
DLE_38_2	-0.31238	4.17992	13.4635	2.59211	-0.0760011	-0.0314204
DLE_38_3	-0.345872	4.07888	13.249	2.52493	0.362043	0.134833
DLE_38_4	-0.295405	3.45251	11.6168	2.14526	0.538046	0.258248
DLE_38_5	-0.223526	3.71418	13.2295	2.61217	1.07208	0.394604
DLE_38_6	-0.112412	2.99997	10.7297	2.85547	1.37754	0.514277
DLE_38_7	-0.168813	3.1215	12.1739	2.96172	2.08709	0.779313
DLE_38_8	-0.199959	3.40362	13.0113	2.97839	1.44492	0.532158
DLE_38_9	-0.140981	3.58938	11.6841	2.25487	-0.38217	-0.06532
DLE_39_0	-0.302684	4.44016	14.2006	2.71476	-0.606656	0.0404825
DLE_39_1	-0.298168	4.2633	13.6884	2.66463	-0.419697	0.0392881
DLE_39_10	-0.0787444	2.69493	9.80485	1.77807	0.712711	0.255929
DLE_39_11	-0.0751172	2.22811	8.61593	1.8535	1.09898	0.373594
DLE_39_12	-0.058682	2.53707	10.1342	2.12807	1.27027	0.471204
DLE_39_13	-0.184314	2.97602	10.2164	1.63249	-0.144685	-0.0961708
