gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur	mse
Chain_V_1_108	0.147154	-0.279337	-3.7225	-0.8562069999999999	-1.23317	-0.48651700000000003	1.560793214767855
Chain_V_1_109	0.566153	-0.719234	-7.404260000000001	-0.24050300000000002	-0.0171472	0.08445599999999999	2.639288481345719
Chain_V_1_110	0.48528999999999994	-0.600838	-7.3992	-0.24561100000000002	-0.184641	0.055958900000000006	2.6341603592225837
Chain_V_1_111	0.50327	-0.6164569999999999	-7.404	-0.240594	-0.174949	0.059967999999999994	2.6364232166282595
Chain_V_1_123	0.0857668	-0.171699	-3.5088800000000004	-1.14933	-1.05821	-0.40565300000000004	1.4660326719838241
Chain_V_1_124	0.07707330000000001	-0.140259	-3.4850199999999996	-1.1397700000000002	-1.06184	-0.399806	1.4582699650780495
Chain_V_1_125	0.0853409	-0.15801099999999998	-3.50165	-1.14688	-1.05586	-0.402444	1.4626867057819408
Chain_V_1_126	0.083483	-0.12470999999999999	-3.46826	-1.12921	-1.0671700000000002	-0.396613	1.453458029388792
Chain_V_1_127	0.390544	-0.523332	-4.4372300000000005	-1.38055	-1.28735	-0.43670600000000004	1.843361453008335
Chain_V_1_128	0.404183	-0.522977	-4.594130000000001	-1.30007	-1.2716	-0.436092	1.879965332601974
Chain_V_1_129	0.0956398	-0.111353	-3.82194	-1.53118	-1.04098	-0.411314	1.5966128720571653
Chain_V_1_130	0.0948169	-0.11199999999999999	-3.762	-1.48224	-1.06091	-0.41585200000000005	1.57800255989691
Chain_V_1_131	0.0955733	-0.10287	-3.8358199999999996	-1.52387	-1.04513	-0.41084899999999996	1.6008239438400886
Chain_V_1_147	0.0945931	-0.24691	-4.887580000000001	-0.681643	-0.326017	0.0178127	1.7586275324690313
Chain_V_1_148	0.104594	-0.23353200000000002	-4.85	-0.692074	-0.31799499999999997	0.00876831	1.7453646776773921
Chain_V_1_149	0.09106089999999999	-0.23378400000000002	-4.85277	-0.691596	-0.325284	0.00956184	1.7467165345668207
Chain_V_1_157	0.08623869999999999	-0.155051	-3.58017	-0.781669	-0.566912	-0.220381	1.3450296006423375
Chain_V_1_158	0.115068	-0.206742	-3.64121	-0.773367	-0.56334	-0.237273	1.3656886551894798
Chain_V_1_159	0.0689462	-0.126433	-3.5424800000000003	-0.7662	-0.570112	-0.227543	1.3315322361317639
